source,Claims,Frequency
https://hotair.com/archives/john-s-2/2021/03/01/last-decade-89-new-co2-output-came-china-india/,Climate policies (mitigation or adaptation) are harmful,1
https://hotair.com/archives/karen-townsend/2020/03/07/hollywoods-favorite-commie-endorses-sanders-climate-candidate/,no claim,8
https://hotair.com/archives/karen-townsend/2020/03/07/hollywoods-favorite-commie-endorses-sanders-climate-candidate/,Climate movement is unreliable/alarmist/corrupt,1
https://hotair.com/jazz-shaw/2021/07/16/out-climate-change-in-moon-wobble-n402632,no claim,4
https://hotair.com/jazz-shaw/2021/07/16/out-climate-change-in-moon-wobble-n402632,We’re heading into an ice age/global cooling,1
https://hotair.com/jazz-shaw/2021/07/16/out-climate-change-in-moon-wobble-n402632,Sea level rise is exaggerated/not accelerating,1
https://hotair.com/jazz-shaw/2021/07/16/out-climate-change-in-moon-wobble-n402632,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,1
https://hotair.com/jazz-shaw/2021/07/16/out-climate-change-in-moon-wobble-n402632,It’s natural cycles/variation,1
https://hotair.com/john-s-2/2021/09/03/john-kerrys-two-days-of-climate-talks-with-china-were-a-bust-n413705,no claim,8
https://hotair.com/john-s-2/2021/09/03/john-kerrys-two-days-of-climate-talks-with-china-were-a-bust-n413705,Climate policies areinefective/fawed,2
https://hotair.com/john-s-2/2021/09/03/john-kerrys-two-days-of-climate-talks-with-china-were-a-bust-n413705,Climate policies (mitigation or adaptation) are harmful,1
https://iheartintelligence.com/furious-mom-starts-driving-over-climate-change-activists-in-shocking-video/,no claim,19
https://iheartintelligence.com/furious-mom-starts-driving-over-climate-change-activists-in-shocking-video/,Climate policies (mitigation or adaptation) are harmful,1
https://iheartintelligence.com/the-us-rejoins-the-paris-climate-deal-and-ends-its-muslim-ban-in-a-series-of-executive-orders-signed-by-joe-biden/,no claim,22
https://iheartintelligence.com/video-joe-biden-appears-to-fall-asleep-during-cop26-climate-conference/,no claim,14
https://ijr.com/biden-adviser-reducing-red-meat-not-entire-solution/,no claim,14
https://ijr.com/biden-new-atlantic-charter-uk-listing-climate-crisis-disinformation-among-worlds-biggest-challenges/,no claim,27
https://ijr.com/biden-targets-big-offshore-wind-energy-climate-change/,no claim,15
https://ijr.com/biden-targets-big-offshore-wind-energy-climate-change/,Climate policies (mitigation or adaptation) are harmful,1
https://ijr.com/climate-activists-dump-cow-poop-white-house-biden-climate-plan/,no claim,19
https://ijr.com/donald-trump-attacks-climate-activists-davos/,no claim,15
https://ijr.com/greta-thunberg-biden-admin-not-taking-climate-crisis-serious/,no claim,17
https://ijr.com/greta-thunberg-lawmakers-ignore-climate-crisis/,no claim,21
https://ijr.com/greta-thunberg-nobel-peace-prize-2020/,no claim,15
https://ijr.com/greta-thunberg-strange-think-biden-leader/,no claim,19
https://ijr.com/jane-fonda-endorses-bernie-sanders/,no claim,19
https://ijr.com/john-kerry-decade-action-climate-change/,no claim,20
https://ijr.com/kerry-nine-years-left-avert-climate-catastrophe/,no claim,22
https://ijr.com/seth-rogan-ted-cruz-a-white-supremacist-fascist/,no claim,25
https://ijr.com/seth-rogan-ted-cruz-a-white-supremacist-fascist/,Climate policies (mitigation or adaptation) are harmful,2
https://ijr.com/thunberg-basically-nothing-done-combat-climate-change/,no claim,18
https://ijr.com/thunberg-basically-nothing-done-combat-climate-change/,Climate hasn’t warmed/changed over the last (few) decade(s),1
https://ijr.com/us-double-public-climate-finance-developing-countries/,no claim,23
https://issuesinsights.com/2021/03/24/the-climate-headline-the-legacy-media-wouldnt-dare-write/,no claim,18
https://issuesinsights.com/2021/03/24/the-climate-headline-the-legacy-media-wouldnt-dare-write/,There’s no evidence for greenhouse efect/carbon dioxide driving climate change,1
https://issuesinsights.com/2021/03/24/the-climate-headline-the-legacy-media-wouldnt-dare-write/,Climate policies areinefective/fawed,1
https://issuesinsights.com/2021/03/24/the-climate-headline-the-legacy-media-wouldnt-dare-write/,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",1
https://issuesinsights.com/2021/03/24/the-climate-headline-the-legacy-media-wouldnt-dare-write/,Climate movement is unreliable/alarmist/corrupt,1
https://issuesinsights.com/2021/07/15/another-global-warming-fact-alarmists-want-buried/,no claim,9
https://issuesinsights.com/2021/07/15/another-global-warming-fact-alarmists-want-buried/,Climate policies areinefective/fawed,3
https://issuesinsights.com/2021/07/15/another-global-warming-fact-alarmists-want-buried/,Climate movement is unreliable/alarmist/corrupt,3
https://issuesinsights.com/2021/08/31/global-warming-narrative-takes-another-hit/,no claim,6
https://issuesinsights.com/2021/08/31/global-warming-narrative-takes-another-hit/,Climate movement is unreliable/alarmist/corrupt,4
https://issuesinsights.com/2021/08/31/global-warming-narrative-takes-another-hit/,Ice/permafrost/snow cover isn’t melting,2
https://issuesinsights.com/2021/08/31/global-warming-narrative-takes-another-hit/,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,2
https://issuesinsights.com/2021/08/31/global-warming-narrative-takes-another-hit/,Weather is cold/snowing,1
https://issuesinsights.com/2021/08/31/global-warming-narrative-takes-another-hit/,Climate hasn’t warmed/changed over the last (few) decade(s),1
https://issuesinsights.com/2021/08/31/global-warming-narrative-takes-another-hit/,It’s natural cycles/variation,1
https://justthenews.com/government/congress/manchin-says-he-wont-vote-bidens-mass-spending-climate-bill,no claim,5
https://justthenews.com/nation/science/beef-takes-beating-environmentalists-research-suggests-cows-can-actually-climate,no claim,18
https://justthenews.com/nation/science/beef-takes-beating-environmentalists-research-suggests-cows-can-actually-climate,Climate sensitivity is low/negative feedbacks reduce warming,1
https://justthenews.com/nation/science/beef-takes-beating-environmentalists-research-suggests-cows-can-actually-climate,Climate policies areinefective/fawed,1
https://justthenews.com/politics-policy/biden-says-us-will-collaborate-communist-china-healthcare-climate-change,no claim,6
https://justthenews.com/politics-policy/elections/party-darkness-democrats-continue-bleak-message-pivot-global-warming,no claim,12
https://justthenews.com/politics-policy/environment/gates-shutting-down-economy-wouldnt-stop-climate-change,no claim,8
https://justthenews.com/politics-policy/environment/gates-shutting-down-economy-wouldnt-stop-climate-change,Climate policies areinefective/fawed,1
https://justthenews.com/politics-policy/environment/john-kerry-says-trump-lied-american-people-about-climate-change,no claim,5
https://justthenews.com/politics-policy/environment/lisa-boothe-bidens-85-vehicle-g20-motorcade-shows-how-climate-change,no claim,5
https://justthenews.com/politics-policy/twelve-states-wage-lawsuit-against-biden-admin-over-executive-order,Climate policies (mitigation or adaptation) are harmful,3
https://justthenews.com/politics-policy/twelve-states-wage-lawsuit-against-biden-admin-over-executive-order,no claim,2
https://justthenews.com/world/scientist-who-served-obama-admin-pushes-back-against-prevailing-climate-change-narrative,no claim,4
https://justthenews.com/world/scientist-who-served-obama-admin-pushes-back-against-prevailing-climate-change-narrative,Ice/permafrost/snow cover isn’t melting,1
https://justthenews.com/world/scientist-who-served-obama-admin-pushes-back-against-prevailing-climate-change-narrative,Climate hasn’t warmed/changed over the last (few) decade(s),1
https://justthenews.com/world/scientist-who-served-obama-admin-pushes-back-against-prevailing-climate-change-narrative,"Climate-related science is unreliable/uncertain/unsound (data, methods & models) 0",1
https://justthenews.com/world/scientist-who-served-obama-admin-pushes-back-against-prevailing-climate-change-narrative,Climate movement is unreliable/alarmist/corrupt,1
https://legalinsurrection.com/2020/01/australias-apocalyptic-fires-caused-by-bad-land-management-and-arsonists-not-climate-change/,no claim,17
https://legalinsurrection.com/2020/01/san-francisco-restaurants-adding-climate-change-surcharge-to-bill/,no claim,10
https://legalinsurrection.com/2020/10/get-everyone-to-vote-biden-climate-activist-greta-thunberg-throws-her-support-behind-joe-biden/,no claim,18
https://legalinsurrection.com/2020/11/biden-taps-john-kerry-as-special-presidential-envoy-for-climate/,no claim,8
https://legalinsurrection.com/2021/10/house-republicans-pounce-hard-when-democrats-grill-big-oil-execs-over-climate-nonsense/,no claim,10
https://legalinsurrection.com/2021/10/house-republicans-pounce-hard-when-democrats-grill-big-oil-execs-over-climate-nonsense/,Climate policies (mitigation or adaptation) are harmful,1
https://legalinsurrection.com/2021/10/house-republicans-pounce-hard-when-democrats-grill-big-oil-execs-over-climate-nonsense/,Climate movement is unreliable/alarmist/corrupt,1
https://legalinsurrection.com/2021/10/is-insurrection-cool-again-climate-change-extremists-attempt-to-storm-government-building/,no claim,17
https://mises.org/wire/climate-change-policy-isnt-worth-its-high-cost,no claim,3
https://mises.org/wire/climate-change-policy-isnt-worth-its-high-cost,Climate movement is unreliable/alarmist/corrupt,2
https://mises.org/wire/climate-change-policy-isnt-worth-its-high-cost,It’s natural cycles/variation,1
https://mises.org/wire/climate-change-policy-isnt-worth-its-high-cost,Species/plants/reefs aren’t showing climate impacts/are benefting from climate change,1
https://mises.org/wire/climate-change-policy-isnt-worth-its-high-cost,CO2 is benefcial/not a pollutant,1
https://mises.org/wire/climate-change-policy-isnt-worth-its-high-cost,Climate policies (mitigation or adaptation) are harmful,1
https://mises.org/wire/climate-change-policy-isnt-worth-its-high-cost,Clean energy technology/biofuels won’t work,1
https://neonnettle.com/news/14024-joy-reid-ignoring-climate-change-could-cause-aliens-to-come-and-attack-us-,no claim,21
https://newsbusters.org/blogs/business/craig-bannister/2021/04/13/major-news-outlets-pledge-begin-calling-climate-change,no claim,19
https://newsbusters.org/blogs/business/joseph-vazquez/2020/09/25/sorosgates-funded-org-65m-world-may-need-climate-lockdown,no claim,13
https://newsbusters.org/blogs/business/joseph-vazquez/2020/09/25/sorosgates-funded-org-65m-world-may-need-climate-lockdown,Climate policies (mitigation or adaptation) are harmful,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/10/insanity-ny-timess-klein-ponders-having-dim-sun-fight,no claim,9
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/10/insanity-ny-timess-klein-ponders-having-dim-sun-fight,Climate movement is unreliable/alarmist/corrupt,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/10/insanity-nyts-ezra-klein-ponders-having-dim-sun-fight,no claim,9
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/10/insanity-nyts-ezra-klein-ponders-having-dim-sun-fight,Climate movement is unreliable/alarmist/corrupt,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/15/watch-climate-fanatic-bill-gates-admits-he-has-one-highest,no claim,8
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/15/watch-climate-fanatic-bill-gates-admits-he-has-one-highest,Climate movement is unreliable/alarmist/corrupt,2
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/15/watch-climate-fanatic-bill-gates-admits-he-has-one-highest,Weather is cold/snowing,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/15/watch-climate-fanatic-bill-gates-admits-he-has-one-highest,Climate policies areinefective/fawed,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/26/watch-hoover-visiting-fellow-bjorn-lomborg-slaps-down,no claim,5
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/26/watch-hoover-visiting-fellow-bjorn-lomborg-slaps-down,Climate policies (mitigation or adaptation) are harmful,3
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/26/watch-hoover-visiting-fellow-bjorn-lomborg-slaps-down,Climate policies areinefective/fawed,2
https://newsbusters.org/blogs/business/joseph-vazquez/2021/02/26/watch-hoover-visiting-fellow-bjorn-lomborg-slaps-down,Climate movement is unreliable/alarmist/corrupt,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/05/27/inconvenient-truth-climate-depot-founder-rips-media-still,Climate movement is unreliable/alarmist/corrupt,6
https://newsbusters.org/blogs/business/joseph-vazquez/2021/05/27/inconvenient-truth-climate-depot-founder-rips-media-still,no claim,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/05/27/inconvenient-truth-climate-depot-founder-rips-media-still,Climate hasn’t warmed/changed over the last (few) decade(s),1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/05/27/inconvenient-truth-climate-depot-founder-rips-media-still,Extreme weather isn’t increasing/has happened before/isn’t linked to climate change,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/05/27/inconvenient-truth-climate-depot-founder-rips-media-still,Species/plants/reefs aren’t showing climate impacts/are benefting from climate change,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/06/28/watch-extremist-professor-says-us-needs-down-payment,no claim,6
https://newsbusters.org/blogs/business/joseph-vazquez/2021/06/28/watch-extremist-professor-says-us-needs-down-payment,Climate policies (mitigation or adaptation) are harmful,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/06/28/watch-extremist-professor-says-us-needs-down-payment,Climate policies areinefective/fawed,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/06/28/watch-extremist-professor-says-us-needs-down-payment,Climate movement is unreliable/alarmist/corrupt,1
https://newsbusters.org/blogs/business/joseph-vazquez/2021/11/03/ridiculous-cnn-al-gore-defends-chinas-climate-commitment,no claim,3
https://newsbusters.org/blogs/business/joseph-vazquez/2021/11/03/ridiculous-cnn-al-gore-defends-chinas-climate-commitment,Climate movement is unreliable/alarmist/corrupt,3
https://newsbusters.org/blogs/business/joseph-vazquez/2021/11/03/ridiculous-cnn-al-gore-defends-chinas-climate-commitment,Climate policies areinefective/fawed,2
https://newsbusters.org/blogs/culture/alexa-moutevelis/2021/05/12/woke-med-drama-new-amsterdam-warns-global-warming,no claim,11
https://newsbusters.org/blogs/culture/alexa-moutevelis/2021/05/12/woke-med-drama-new-amsterdam-warns-global-warming,Climate movement is unreliable/alarmist/corrupt,1
https://newsbusters.org/blogs/culture/gabriel-hays/2020/09/15/hell-get-us-all-killed-mark-hamill-bill-nye-demand-trump,no claim,11
https://newsbusters.org/blogs/culture/karen-townsend/2021/12/12/new-miss-universe-urges-action-climate-change-choice-kill,no claim,5
https://newsbusters.org/blogs/culture/karen-townsend/2021/12/12/new-miss-universe-urges-action-climate-change-choice-kill,Climate movement is unreliable/alarmist/corrupt,2
https://newsbusters.org/blogs/nb/brad-wilmouth/2020/08/25/ali-velshi-rants-climate-change-will-kill-far-more-people-covid,no claim,12
https://newsbusters.org/blogs/nb/brad-wilmouth/2020/08/25/ali-velshi-rants-climate-change-will-kill-far-more-people-covid,Climate movement is unreliable/alarmist/corrupt,1
