index,paragraphs,urls,gpt_label,gpt_super_claim,gpt_sub_claim,CARDS_label,CARDS_super_claim,CARDS_sub_claim,expert_label,expert_super_claim,expert_sub_claim
294568,co notes with a roster of more than endorsements in midterm races to date donald trump has put his political capital on the line in dozens of states and scores of primaries. indeed trump endorsed candidates win even when the donald forgets their names. now that s juice. another big winner last night in this more populist republican party was madison gesiotto gilbert a former staffer in both of trump s presidential campaigns. his endorsement in a crowded republican field swept her to victory in ohio s newly ,https://patriotpost.us/articles/88117-trump-the-kingmaker-2022-05-04,0_0,0,0,0_0,0,0,0_0,0,0
449414,s slowed down electricity production leading to widespread outages in state according to fox news. the failure of state authorities to ensure that the power supply was immune to colder weather contributed to the crisis the new york times and the texas tribune reported. matheson said in the case of the present risks to the grids in the western united states the government can take some action to help avert a similar crisis. there are limits in terms of number of hours per year certain facilities can operate ,https://www.thegatewaypundit.com/2022/07/lack-resources-predicted-spark-rolling-blackouts-across-us-summer/,0_0,0,0,0_0,0,0,0_0,0,0
830261,deal with higher emission costs and companies from outside europe will pay for their emissions at the border. the money raised with this can be spent on climate plans. if you do not like this new legislation now is the time to make your voice heard. personally i pledge to make efforts to increase my carbon emissions in protest to this plan. in fact i am thinking about firing up my wood stove even now. the good news if you want to call it that is that the new carbon taxes are not scheduled to be implemented ,https://thewashingtonstandard.com/the-eu-plans-to-impose-direct-carbon-taxes-on-individuals/,0_0,0,0,0_0,0,0,0_0,0,0
126658,ations from the u.s. central command investigation of the abbey gate bombing. the investigative report makes clear that the administration had ample warning prior to mid august that kabul could collapse rapidly in the face of the taliban s offensive. it shows further how the administration refused to acknowledge those warnings and act in a timely manner to prepare for kabul s fall. and it shows in astounding detail just how chaotic the final evacuation effort was with u.s. servicemembers often left without ,https://olddominionnews.com/stories/620766363-legislative-session-published-by-the-congressional-record-in-the-senate-section-on-feb-17,0_0,0,0,0_0,0,0,0_0,0,0
479313,f the american people but does not personally judge chinese communists too harshly for conducting genocide as their country has different norms. the two presidents had a candid communication and exchange on china u.s. relations and issues of mutual interest xinhua detailed. xi elaborated on china s principled position on the taiwan question. he highlighted that the historical context of the taiwan question is crystal clear and so are the fact and status quo that both sides of the taiwan strait belong to one,https://www.breitbart.com/asia/2022/07/29/chinas-version-xi-biden-call-features-major-differences-white-house/,0_0,0,0,0_0,0,0,0_0,0,0
628629,ing issues like healthcare abortion rights lgbtq rights climate change and more so voting is critical to ensure the future you want to see. having trouble registering to vote tell us about your experience by emailing tips buzzfeed.com or visit tips.buzzfeed.com. alabama the voter registration deadline in alabama is oct.. register to vote in person by mail or online. alaska register to vote in person by mail or online in alaska by oct.. arizona the deadline to register to vote in arizona is oct.. you can reg,https://www.newsbreak.com/news/2763765206736/the-2022-midterms-are-a-referendum-on-abortion-rights-and-lgbtq-freedoms-here-s-how-to-have-your-say,0_0,0,0,0_0,0,0,0_0,0,0
622115,ere is the honest elections project so called showing up in court as an amicus pushing the big lie theory to the very judges who the judicial crisis network paid to get on the court. and guess what. do you think they disclosed to anybody that that was the connection no i have got to come to the floor of the senate to point that out because the supreme court which is behind so much of this the unlimited money the failure to enforce the transparency requirement the gobs of dark money that are going through al,https://firststatetimes.com/stories/632433524-legislative-session-published-by-congressional-record-in-the-senate-section-on-sept-22,0_0,0,0,5_2,5,2,0_0,0,0
62190,e exposure to north america and the backlog of contract that we have won in the last few quarters that will execute toward. finally on digital integration it s a two phase of a division here. we expect the digital to be accretive to our growth while it will be moderated by or visibly moderated by a flattish environment for aps production going forward. so that gives you the mix across the division and across the geographies. james west evercore isi analyst that s perfect. thanks olivier. olivier le peuch ch,https://www.newsbreak.com/news/2492553125398/schlumberger-slb-q4-2021-earnings-call-transcript,0_0,0,0,0_0,0,0,0_0,0,0
384930, need to pee more often.. an enlarged prostate as men age the tube through which they urinate called the urethra can get blocked by an enlarged prostate norouzi says. this can lead to either poor bladder emptying or bladder muscle changes that can cause urination frequency and urgency. other signs of prostate gland enlargement include a weak urine stream increased need to urinate at night inability to completely empty the bladder difficulty starting urination how to treat it in most cases an enlarged prosta,https://www.newsbreak.com/news/2640094197585/5-reasons-why-you-have-to-pee-so-much-and-how-to-treat-them,0_0,0,0,0_0,0,0,0_0,0,0
13023,imported solar energy components in saying his administration would always defend american workers and businesses from unfair competition.,https://www.newsbreak.com/news/2506094404320/biden-extends-trump-era-solar-tariffs-but-loosens-some,0_0,0,0,0_0,0,0,0_0,0,0
597330,s. the separate meetings are to be the first in person encounter between biden and the families and are taking place amid sustained but so far unsuccessful efforts by the administration to secure the americans release. the administration said in july that it had made a substantial proposal to get them home but despite plans for the white house meetings there is no sign that a breakthrough is imminent. biden plans to speak at the white house with griner s wife cherelle and with the player s agent in one meet,https://www.newsbreak.com/news/2748088656918/january-6-panel-could-release-report-on-trump-and-capitol-attack-before-midterms-as-it-happened,0_0,0,0,0_0,0,0,0_0,0,0
1778,argin expansion in the u.s. domestic package segment from. in to between. and in. however cfo brian newman told investors he expected the segment s margin would already be at. in. as such ups is well on its way to achieving its aims and don t be surprised if management elects to nudge the targets higher on the next earnings call. johnson controls investors looking for a stock benefiting from the corporate push to eliminate greenhouse emissions and reach carbon neutrality need look no further than johnson co,https://www.newsbreak.com/news/2479549247681/3-top-stocks-to-buy-if-there-is-a-market-pullback,0_0,0,0,0_0,0,0,0_0,0,0
695735,otwire which was sold to expedia for million in. through his startup studio and venture capital firm sunny spencer is an active angel investor in over companies and is incubating several more. https twitter.com spencerrascoff https www.linkedin.com in spencerrascoff admin dot.la ilana gordon is an entertainment culture and tech writer originally from connecticut. she currently lives in los angeles. oct everything is harder if you re an abortion provider said cindy adam. adam is the co founder and ceo of cho,https://www.newsbreak.com/news/2797818274836/sparktoro-co-founder-rand-fishkin-on-chill-work-and-the-problem-with-vc,0_0,0,0,0_0,0,0,0_0,0,0
131743,with its first priority being to solve the increasing challenge of managing supply chain risk. dun bradstreet will be the founding partner of google cloud s supply chain twin and new solutions will be developed to improve end to end supply chain visibility. crunchbase called a banner year for vc backed supply chain management companies and said that funding shows no signs of breaking down. crunchbase data showed that. billion in funding was provided to supply chain companies nearly double levels and above t,https://www.zerohedge.com/economics/how-pandemic-has-propelled-maritime-tech-deals-new-peaks,0_0,0,0,0_0,0,0,0_0,0,0
472273,ugh the nea says it fights for nondiscrimination and civil rights the only state delegates able to attend the chicago event in person were those who were fully vaccinated. any teachers who didn t have vaccination cards could only attend virtually regardless of whether they tested negative for covid or their reasons for not getting the vaccine. the vaccinated delegates who attended in person had all their expenses paid by their union local while unvaccinated teachers were excluded and stigmatized as a harm t,https://www.theepochtimes.com/preferred-pronouns-and-more-what-i-saw-at-a-teachers-union-convention_4615651.html,0_0,0,0,0_0,0,0,0_0,0,0
113783, tumblr where it was first embraced by the toxic fandom of the television show glee and then applied to try to force all of the world to become a gigantic high school where the popular and yet somehow still oppressed rule with an iron fist. i do not believe and continue to not believe that wokeness is a primarily academic phenomenon both because the ideas that prefigured it have been swimming around academia without willing ears for a long time and because most of the academic theories that prefigure it fai,http://humanevents.com/2022/02/17/revealed-the-2010-essay-that-explains-what-the-woke-want/,0_0,0,0,0_0,0,0,0_0,0,0
550571,ioned as an armor officer. throughout the next years general martin would serve in support of america s most significant large scale operations and fight in some of the army s most storied divisions. he deployed in support of operation desert storm twice for operation iraqi freedom and as the combined joint force land component commander for operation inherent resolve. among other assignments joe served with the st armored division the th infantry division u.s. army operational test command and served as th,https://hawkeyereporter.com/stories/630140783-chips-act-of-2022-continued-published-by-the-congressional-record-in-the-senate-section-on-july-26,0_0,0,0,0_0,0,0,0_0,0,0
804413,bad credit score. the soon to be lawmaker s struggle to find a home in the nation s capital is not a new one. in rep. alexandria ocasio cortez d n.y. who worked as a bartender before her successful campaign for congress said she had no cash flow to cover the period between her election and swearing in. i can t really take a salary ocasio cortez said in an interview with the new york times. i have three months without a salary before i m a member of congress. so how do i get an apartment those things are ver,https://www.newsbreak.com/news/2851813851098/first-gen-z-congressman-elect-has-dc-apartment-application-rejected,0_0,0,0,0_0,0,0,0_0,0,0
539805,eliminated daniel boyce the study s lead author and research scientist at the bedford institute of oceanography said in a blog post on the site carbon brief. the rundown new york times expansion of clean energy loans is sleeping giant of climate bill energy news network in virginia s internet corridor climate targets and data center growth collide wall street journal how occidental petroleum captured warren buffett s eye washington post big hurdles on the road to moving millions of u.s. drivers into evs cal,https://www.washingtonexaminer.com/policy/energy-environment/daily-on-energy-chinas-heatwave-translates-to-trouble-for-electric-vehicles,0_0,0,0,0_0,0,0,0_0,0,0
833034,re set or came close. no daily records were broken for any month. it was not exceptional in any way. the bbc and met office are already linking the mild weather to global warming. but as the bbc itself admits temperatures have been higher than average for most of the season because of meteorological conditions. in november for instance our weather was dominated by mild south westerly winds. in short we have had the temperatures we would have expected from the weather conditions. but the bbc desperate to mak,https://www.thelibertybeacon.com/climate-fibbing-the-bbc-is-at-it-again/,0_0,0,0,0_0,0,0,2_1,2,1
143766,n after november. rep. sean patrick maloney of new york who chairs the democratic congressional campaign committee told marketwatch in a statement that the nationally televised speech gives the president an opportunity to highlight democrats efforts to save the economy. our agenda created a record breaking amount of jobs and has america leading the world out of a global recession maloney said. i believe the president will make clear that democrats are going to keep prioritizing our economy and delivering th,https://www.newsbreak.com/news/2524578060542/here-s-what-experts-think-biden-should-say-about-the-u-s-economy-and-inflation-in-the-state-of-the-union,0_0,0,0,0_0,0,0,0_0,0,0
120578, is free from fossil fuel conflict. we can reimagine a future powered by the light of the sun not by oil controlled by the barrel of a gun. we can tell russia we don t need their oil any more than we need their caviar. that is a message we can send by passing legislation that unleashes this clean energy revolution. we can reimagine a future where american ingenuity manufacturing and jobs drive our allies forward into a global clean energy revolution. this future isn t far off beyond the horizon. it is right,https://greatlakeswire.com/stories/620766387-congressional-record-publishes-legislative-session-in-the-senate-section-on-feb-17,0_0,0,0,0_0,0,0,0_0,0,0
232493,t s not a fiscal framework it s one of their leftist transformational documents he said. sebastian hughes is a reporter at daily caller news foundation. photo joe biden by joe biden.,https://tennesseestar.com/2022/04/03/bidens-budget-proposal-has-three-huge-red-flags-experts-say/,0_0,0,0,0_0,0,0,0_0,0,0
26725,the campaign trail the senate is currently split between the two major parties but democrats hold a razor thin majority due to the tie breaking vote of vice president kamala harris through her constitutional duty as president of the chamber. that means republicans merely need a net gain of one seat to retake the senate in november to regain control of the chamber they lost a year ago when they were narrowly swept in georgia s twin senate runoffs. the senate contest in wisconsin a key battleground state that,https://www.foxnews.com/politics/the-two-senators-whove-yet-to-say-if-theyre-running-for-reelection-in-november,0_0,0,0,0_0,0,0,0_0,0,0
670719, than fighting for truth justice and the american way jonathan had a very different agenda. instead of fighting lex luthor jonathan was battling climate change and rescuing undocumented immigrants from evil immigration officers. oh and he was also bisexual. for some strange reason the new character didn t seem to resonate with the fans. national review dc comics is canceling superman son of kal el a book series it launched last year about a bisexual superman amid poor sales. the series th issue due out in d,https://hotair.com/jazz-shaw/2022/10/14/dc-comics-cancels-woke-bisexual-superman-that-nobody-had-heard-of-n503163,0_0,0,0,0_0,0,0,0_0,0,0
618508,to the shadow of another body. eclipses can exist in two forms solar and lunar depending on the orbit of the earth and moon. with a lunar eclipse the moon moves behind the earth. during a solar eclipse the moon orbits between the earth and the sun. pictured moon traversing the face of the sun during a solar eclipse. nasa. equinox during an equinox earth experiences an even hours of daytime and hours of nighttime. this occurs twice a year the march equinox marks spring s arrival in the northern hemisphere an,https://www.newsbreak.com/news/2760086011361/50-space-terms-for-understanding-the-universe,0_0,0,0,0_0,0,0,0_0,0,0
133065,ctivities have extended our all weighted inventory runway to approximately years at current activity levels with a breakeven oil prices of or below. the slots in our deck have details to help you understand the quality and depth of our inventory in each of our operating areas. as jason said our forward development strategy allocates our capital to our highest return projects in howard county. returns and efficiencies benefit from the fact that our acreages contiguous and in many areas we can drill extended ,https://www.newsbreak.com/news/2523697698049/laredo-petroleum-lpi-q4-2021-earnings-call-transcript,0_0,0,0,0_0,0,0,0_0,0,0
736338,merican greatness. he is also is a contributing editor and senior fellow with the california policy center which he co founded in and served as its first president. ring is the author of fixing california abundance pragmatism optimism and the abundance choice our fight for more water in california.,https://theohiostar.com/2022/11/10/commentary-the-partisan-rigging-of-the-2022-election/,0_0,0,0,0_0,0,0,0_0,0,0
211160,job you should be compensated and treated in the same way. robin wright. frazer harrison gettyimages when robin wright asked to be paid the same as costar kevin spacey on netflix s house of cards she told executives you better pay me or i m going to go public. wright was reportedly earning per episode of house of cards to spacey s before she asked for equal pay. it was a perfect paradigm she told audiences at a event at the rockefeller foundation. there are very few films or tv shows where the male the patr,https://www.newsbreak.com/news/2135452821847/13-times-celebrities-fought-for-equal-pay-in-their-starring-roles,0_0,0,0,0_0,0,0,0_0,0,0
390133,not centered on hot button political issues but on the much drier world of agency action its outcome can perhaps have the greatest impact of all of these cases. at issue is whether the environmental protection agency has the power to issue sweeping rules that could overhaul industry practices and the country s electricity grids to address climate change. in the obama administration s clean power plan aimed to reduce carbon emissions at power plants. the plan was blocked by the supreme court in and then repe,https://www.foxnews.com/politics/five-biggest-supreme-court-cases-awaiting-rulings,0_0,0,0,0_0,0,0,0_0,0,0
254746, forest fires instead of the usual. that are seen on average during this time of year which burned hectares acres instead of the usual. hectares acres. the new democracy government of prime minister kyriakos mitsotakis which in admitted there were shortcomings in dealing with hundreds of fires spontaneously across the country is stepping up preparations said kathimerini. the worst of those was on greece s second biggest island of evia about miles northeast of athens and saw almost half the forests and land ,https://www.thenationalherald.com/after-big-winter-jump-in-forest-fires-greece-readies-for-more/,0_0,0,0,0_0,0,0,0_0,0,0
542611,that cost trillions not to mention uncountable losses from the destruction of human life and the environment seen daily in ukraine for example. paying cents more on our next shopping trip to walmart for an american manufactured pair of roller skates might then be well worth the investment especially if we can use them at a s style roller disco today yes we can. views expressed in this article are the opinions of the author and do not necessarily reflect the views of the epoch times.,https://www.theepochtimes.com/reshoring-robotics-and-roller-disco_4682797.html,0_0,0,0,0_0,0,0,0_0,0,0
326937,ion under control fed chairman jerome powell told marketplace. getting inflation down to without having the economy go into recession or to keep the labor market remaining fairly strong he said will also include some pain. but ultimately the most painful thing would be if we were to fail to deal with it and inflation were to get entrenched in the economy at high levels and we know what that s like. and that s just people losing the value of their paycheck to high inflation and ultimately we d have to go thr,https://thepoliticalinsider.com/is-the-u-s-already-in-a-recession-many-analysts-think-so/,0_0,0,0,0_0,0,0,0_0,0,0
594306,forts to overturn election results. the justice department is stepping up its campaign despite an unwritten rule that strongly discourages actions such as a criminal indictment that could influence voters within days of an election. the onslaught of subpoenas signals that the justice department is trying to gather as much evidence now in case republicans win control of the house and senate in november and move next year to stymie the investigation analysts say. robert sanders a former navy judge advocate ge,https://www.washingtontimes.com/news/2022/sep/15/justice-department-expands-jan-6-inquiry-fearing-g/,0_0,0,0,0_0,0,0,0_0,0,0
669117, abroad to impose policies favorable to their interests. in this way the transnational actors have begun to usurp the nation states sovereignty. but i was wrong as far as the warring ideologies. that may well arise in the distant future. right now and for the foreseeable future the transnational actors are only making war a cold subversive war against the nation state and not each other. the world economic forum represents the moment the transnationals found their ideology for the present struggle. it s a s,https://www.americanthinker.com/articles/2022/10/the_transnationals_and_their_ideological_smoke_screen.html,0_0,0,0,0_0,0,0,0_0,0,0
840724,ey which declared a stage emergency late friday and asked customers to conserve electricity due to the rising risk of grid instability. pjm is asking consumers to reduce their use of electricity if health permits between the hours of a.m. on december and a.m. on december pjm wrote in a press release. pjm asks consumers to conserve electricity in the face of continuing frigid temperatures. https t.co ks avbr g pjm interconnection pjminterconnect december pjm s request for customers to reduce power comes as t,https://www.activistpost.com/2022/12/eastern-us-power-grid-declares-emergency-power-outages-top-one-million-flight-disruptions-persist-amid-storm-chaos.html,0_0,0,0,0_0,0,0,0_0,0,0
837994,mous tech and energy companies in the world are implicated in the humanitarian crisis kara said. this is the bottom of the supply chain of your iphone of your tesla of your samsung he asserted. fox news thomas catenacci contributed to this report.,https://www.foxnews.com/media/joe-rogan-podcast-guest-explains-heart-wrenching-source-electric-vehicle-iphone-batteries-viral-video,0_0,0,0,0_0,0,0,0_0,0,0
403109,woman standing on one leg photograph westend gmbh alamy those getting rather cocky about their ability to stand on one leg letters june should try doing the exercise with their eyes closed. this will bring them back down to earth much more quickly than they expected. ron brewer old buckenham norfolk i am and cannot stand on one leg. i can however touch my toes with almost straight legs. how much longer do i have joyce bailey saffron walden essex the country diary june does it again. raises our spirits when ,https://www.newsbreak.com/news/2649208932867/close-your-eyes-and-try-to-stay-grounded-brief-letters,0_0,0,0,0_0,0,0,0_0,0,0
